シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,事業に関連するKPIが定められている閣議決定等の名称,事業に関連するKPIが定められている閣議決定等の該当箇所,事業に関連するKPIが定められている閣議決定等のURL,アクティビティ・アウトプット・アウトカムの番号,種別（アクティビティ・アウトプット・アウトカム）,アウトカムの期間,成果目標の種類,アクティビティ／活動目標／成果目標,活動指標／成果指標,単位,改善の上向き／下向き,成果実績及び目標値の根拠として用いた統計・データ名（出典）,定性的なアウトカム目標を設定している理由,定性的なアウトカムに関する成果実績,目標年度／目標値／実績値／達成率,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,1,アウトプット,,,法教育推進協議会及び部会の実施,法教育推進協議会及び部会の実施件数,回,,,,,3.実績値,,,,,,,,,,,,,,,8,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,1,アウトプット,,,法教育推進協議会及び部会の実施,法教育推進協議会及び部会の実施件数,回,,,,,4.達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,2,アウトプット,,,国民が法教育に接する機会の提供,SNS（法教育マスコットキャラクターホウリス君のX）により国民向けに情報発信（投稿）をした回数,回,,,,,1.目標年度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,2,アウトプット,,,国民が法教育に接する機会の提供,SNS（法教育マスコットキャラクターホウリス君のX）により国民向けに情報発信（投稿）をした回数,回,,,,,2.目標値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,2,アウトプット,,,国民が法教育に接する機会の提供,SNS（法教育マスコットキャラクターホウリス君のX）により国民向けに情報発信（投稿）をした回数,回,,,,,3.実績値,,,,,,,,,,,,,,,63,72,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,2,アウトプット,,,国民が法教育に接する機会の提供,SNS（法教育マスコットキャラクターホウリス君のX）により国民向けに情報発信（投稿）をした回数,回,,,,,4.達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,1,アウトカム,1.短期,定量的,効果的な法教育実践のための学校等への支援,出前授業の年間実施状況,件,,法教育授業実施状況報告書,,,1.目標年度,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,1,アウトカム,1.短期,定量的,効果的な法教育実践のための学校等への支援,出前授業の年間実施状況,件,,法教育授業実施状況報告書,,,2.目標値,,,,,,,,,,,,,,,2500,2500,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,1,アウトカム,1.短期,定量的,効果的な法教育実践のための学校等への支援,出前授業の年間実施状況,件,,法教育授業実施状況報告書,,,3.実績値,,,,,,,,,,,,,,,2400,3532,5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,1,アウトカム,1.短期,定量的,効果的な法教育実践のための学校等への支援,出前授業の年間実施状況,件,,法教育授業実施状況報告書,,,4.達成率,,,,,,,,,,,,,,,96,141.28,177.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
